ID,Banks,Country,Year,Total_Assets,Operating_Expenses,Interest_Expense,Total_Customer_Deposits,Netloans,Net_Interest,GDP,Inflation,Unemployment
244,BANK MANDIRI (PERSERO) TBK,IDN,2017,83016009479,2304722496,1679595365,55328019999,51330954574,3565097957,5.069785901,3.80879807,3.783
245,MALAYAN BANKING BERHAD - MAYBANK,MY,2017,1.88E+11,2781113923,2439510780,1.24E+11,1.20E+11,2990408848,5.81272241,3.871201158,3.41
246,CIMB GROUP HOLDINGS BERHAD,MY,2017,1.25E+11,2248541311,2227866274,85799672452,77931315901,2574863805,5.81272241,3.871201158,3.41
247,CIMB BANK BERHAD,MY,2017,1.03E+11,1362218828,1588558558,72845916946,64448228303,1675723499,5.81272241,3.871201158,3.41
248,PUBLIC BANK BERHAD,MY,2017,97310743106,843963054.2,1935326645,66413194041,74604657922,1825977066,5.81272241,3.871201158,3.41
249,RHB BANK BERHAD,MY,2017,56674032754,784477826.5,1030040106,40905403108,38971309600,867013029.1,5.81272241,3.871201158,3.41
250,HONG LEONG FINANCIAL GROUP BHD,MY,2017,50992642262,517520034.7,813891021.4,35392895667,29066623343,657115751.5,5.81272241,3.871201158,3.41
251,HONG LEONG BANK BERHAD,MY,2017,45540876703,467518171,770546586.7,35573423848,28875394184,664743138.7,5.81272241,3.871201158,3.41
252,AMMB HOLDINGS BERHAD,MY,2017,35702029613,626740268.9,687630738.1,24807142356,24696503572,430954154.3,5.81272241,3.871201158,3.41
253,AMBANK (M) BERHAD,MY,2017,24633248525,369766688.8,676627890.3,18061503277,17432544727,425450529.5,5.81272241,3.871201158,3.41
254,BDO UNIBANK INC,PH,2017,53444382522,1225146684,361396538.3,42485666474,34553130640,1637581820,6.930988325,2.853187726,2.552
255,BANK OF THE PHILIPPINE ISLANDS,PH,2017,38136829413,692927084,356749381.9,31292188901,24083848303,962261850.4,6.930988325,2.853187726,2.552
256,METROPOLITAN BANK & TRUST COMPANY,PH,2017,41670010391,976043073,378903498.4,30606372768,24968851177,1230014180,6.930988325,2.853187726,2.552
257,DBS GROUP HOLDINGS LTD,SG,2017,3.87E+11,3894209122,2275923948,2.80E+11,2.42E+11,5828968928,4.512926318,0.57626031,4.2
258,DBS BANK LTD,SG,2017,3.87E+11,3885979286,2266197777,2.80E+11,2.42E+11,5838695099,4.512926318,0.57626031,4.2
259,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG,2017,3.40E+11,3042185345,2764412643,2.12E+11,1.76E+11,4057400800,4.512926318,0.57626031,4.2
260,UNITED OVERSEAS BANK LIMITED,SG,2017,2.68E+11,3013041248,2654856308,2.04E+11,1.74E+11,4135917184,4.512926318,0.57626031,4.2
261,KASIKORNBANK PUBLIC COMPANY LIMITED,TH,2017,88762572695,2030922182,770358218.3,57485319934,52101992080,2881224189,4.177681032,0.665631893,0.83
262,BANGKOK BANK PUBLIC COMPANY LIMITED,TH,2017,94131752041,1497754707,1188798345,70706222608,57190254622,2038652538,4.177681032,0.665631893,0.83
263,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH,2017,87335721941,1514131275,1102257583,63366512900,55626138279,2657925566,4.177681032,0.665631893,0.83
264,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH,2017,92532090869,1764029196,1003736123,64026908419,59608823256,2824585603,4.177681032,0.665631893,0.83
265,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH,2017,63914153477,1475190243,809739018.5,40366972591,45863026838,2097096461,4.177681032,0.665631893,0.83
266,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH,2017,25821558296,535668568.7,305377145.6,18709093001,18952140163,756802900.1,4.177681032,0.665631893,0.83
267,THANACHART CAPITAL PUBLIC COMPANY LIMITED,TH,2017,31379947271,781343717.4,474618383.7,17551110484,21077881397,892581504.2,4.177681032,0.665631893,0.83
268,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN,2017,53613550552,720482870.8,2125894542,38349395457,38150971907,1380393834,6.940190374,3.520256888,1.874
269,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,2017,48832145713,727260529.8,1703643830,33575712625,34888974551,1207268122,6.940190374,3.520256888,1.874
270,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN,2017,46166925629,540586233.4,1080099111,31595082880,23871635074,978262943.7,6.940190374,3.520256888,1.874
271,PT BANK CENTRAL ASIA TBK,IDN,2018,56956560036,1909505840,774736553.1,43492301529,36759780693,3104965065,5.17429154,3.198346416,4.387
272,"BANK NEGARA INDONESIA (PERSERO) TBK, PT",IDN,2018,55836752492,1437209312,1222626617,38130806109,34382079216,2269624202,5.17429154,3.198346416,4.387
273,BANK RAKYAT INDONESIA (PERSERO) TBK,IDN,2018,89558614388,2899681244,2247178722,63760089918,55426408731,5242522144,5.17429154,3.198346416,4.387
274,BANK MANDIRI (PERSERO) TBK,IDN,2018,83022726106,2594167467,1637361236,52897513621,54409713749,3504160908,5.17429154,3.198346416,4.387
275,MALAYAN BANKING BERHAD - MAYBANK,MY,2018,1.95E+11,2717335300,2687148758,1.29E+11,1.23E+11,2917217868,4.843086976,0.884709161,3.3
276,CIMB GROUP HOLDINGS BERHAD,MY,2018,1.29E+11,2091535848,2320732419,89451030453,81466297481,2328002928,4.843086976,0.884709161,3.3
277,CIMB BANK BERHAD,MY,2018,1.09E+11,1404203473,1772092809,77139759069,68737343115,1610815774,4.843086976,0.884709161,3.3
278,PUBLIC BANK BERHAD,MY,2018,1.01E+11,863473732.9,2101785455,68598973414,76177158356,1827465771,4.843086976,0.884709161,3.3
279,RHB BANK BERHAD,MY,2018,58756960728,811321744.9,1053506839,43217671182,40021692890,883226783.8,4.843086976,0.884709161,3.3
280,HONG LEONG FINANCIAL GROUP BHD,MY,2018,56782853712,568287987.4,903454762.7,38062588706,31905716501,710810460.9,4.843086976,0.884709161,3.3
281,HONG LEONG BANK BERHAD,MY,2018,50239142327,510201568.3,857852929.6,38194118484,31709572137,716384807.9,4.843086976,0.884709161,3.3
282,AMMB HOLDINGS BERHAD,MY,2018,38910415216,522144587.2,776222761.5,26198478811,24637104594,422520962.7,4.843086976,0.884709161,3.3
283,AMBANK (M) BERHAD,MY,2018,26815358025,308788050.9,768902251.6,18610468550,17479565308,412375164.8,4.843086976,0.884709161,3.3
284,BDO UNIBANK INC,PH,2018,57322037952,1364236459,583187946.9,45898738777,37806332696,1864274414,6.341485571,5.309346616,2.338
285,BANK OF THE PHILIPPINE ISLANDS,PH,2018,39549884094,726500296.5,461782130.3,30076361195,25697899587,1059157165,6.341485571,5.309346616,2.338
286,METROPOLITAN BANK & TRUST COMPANY,PH,2018,42555441464,1017677003,537971345.3,29526459799,25995600836,1305325904,6.341485571,5.309346616,2.338
287,DBS GROUP HOLDINGS LTD,SG,2018,4.04E+11,4259964873,3548505311,2.89E+11,2.53E+11,6561401004,3.517114185,0.438620118,3.613
288,DBS BANK LTD,SG,2018,4.04E+11,4248974252,3500146577,2.89E+11,2.53E+11,6605363490,3.517114185,0.438620118,3.613
289,OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC,SG,2018,3.43E+11,3095633824,3780164165,2.16E+11,1.87E+11,4315731286,3.517114185,0.438620118,3.613
290,UNITED OVERSEAS BANK LIMITED,SG,2018,2.84E+11,2933261313,3605655077,2.15E+11,1.89E+11,4557418715,3.517114185,0.438620118,3.613
291,KASIKORNBANK PUBLIC COMPANY LIMITED,TH,2018,97229899287,2106258544,782254430.4,61479608053,55407860351,3036628863,4.222870287,1.063897542,0.766
292,BANGKOK BANK PUBLIC COMPANY LIMITED,TH,2018,96048363971,1699999679,1214337214,71694432106,59654635339,2199582108,4.222870287,1.063897542,0.766
293,KRUNG THAI BANK PUBLIC COMPANY LIMITED,TH,2018,84413560975,1636003384,1111915320,62854066437,58424838554,2579025738,4.222870287,1.063897542,0.766
294,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,TH,2018,98223705590,1991967517,1009497740,66552982890,62885502686,2969787157,4.222870287,1.063897542,0.766
295,BANK OF AYUDHYA PUBLIC COMPANY LTD.,TH,2018,66984153002,1594493575,980067666.6,43955524828,49768688503,2321401039,4.222870287,1.063897542,0.766
296,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,TH,2018,27479778102,534676727.5,327613727.1,20017627081,20155439948,754919901.5,4.222870287,1.063897542,0.766
297,THANACHART CAPITAL PUBLIC COMPANY LIMITED,TH,2018,32694474673,800376236.8,486651686.1,20538091178,22530940673,948148548.7,4.222870287,1.063897542,0.766
298,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VN,2018,57518785723,734823634.1,2414820525,43359087907,42774786293,1521176295,7.465006856,3.539628059,1.161
299,VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,2018,51015761935,669488079.3,2263221704,36180334769,37323881174,986553629.9,7.465006856,3.539628059,1.161
300,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK,VN,2018,47054834118,608658636.2,1202866845,35133806636,27232125548,1244622859,7.465006856,3.539628059,1.161
